	venue	innings	ball	batting_team	bowling_team	batsmen	bowlers	runs
0	M Chinnaswamy Stadium	1	5.6	Kolkata Knight Riders	Royal Challengers Bangalore	"RT Ponting,BB McCullum,SC Ganguly"	"Z Khan,AA Noffke,P Kumar"	61
1	M Chinnaswamy Stadium	2	5.6	Royal Challengers Bangalore	Kolkata Knight Riders	"MV Boucher,V Kohli,R Dravid,W Jaffer,JH Kallis,CL White"	"AB Agarkar,AB Dinda,I Sharma"	26
10	Sawai Mansingh Stadium	1	5.6	Kings XI Punjab	Rajasthan Royals	"K Goel,JR Hopes,KC Sangakkara"	"MM Patel,SR Watson,SK Trivedi"	54
100	Eden Gardens	2	5.6	Kolkata Knight Riders	Kings XI Punjab	"SC Ganguly,Salman Butt,DB Das,DJ Hussey"	"IK Pathan,RR Powar,S Sreesanth"	51
1000	Rajiv Gandhi International Stadium	1	5.6	Sunrisers Hyderabad	Kings XI Punjab	"S Dhawan,DA Warner"	"BE Hendricks,Sandeep Sharma,Gurkeerat Singh,Anureet Singh"	56
1001	Rajiv Gandhi International Stadium	2	5.6	Kings XI Punjab	Sunrisers Hyderabad	"M Vijay,WP Saha,M Vohra"	"TA Boult,B Kumar,I Sharma,Bipul Sharma"	47
1002	Shaheed Veer Narayan Singh International Stadium	1	5.6	Chennai Super Kings	Delhi Daredevils	"DR Smith,BB McCullum"	"Z Khan,S Nadeem"	16
1003	Shaheed Veer Narayan Singh International Stadium	2	5.6	Delhi Daredevils	Chennai Super Kings	"JP Duminy,Yuvraj Singh,Q de Kock,SS Iyer"	"R Ashwin,IC Pandey,MM Sharma"	28
1004	Punjab Cricket Association IS Bindra Stadium	1	5.7	Kings XI Punjab	Royal Challengers Bangalore	"AR Patel,GJ Maxwell,M Vohra,DA Miller,WP Saha,GJ Bailey"	"MA Starc,YS Chahal,S Aravind,D Wiese,HV Patel"	72
1005	Punjab Cricket Association IS Bindra Stadium	2	5.6	Royal Challengers Bangalore	Kings XI Punjab	"CH Gayle,Mandeep Singh,V Kohli,AB de Villiers"	"BE Hendricks,Sandeep Sharma,R Dhawan,Anureet Singh"	61
1006	Wankhede Stadium	1	5.8	Mumbai Indians	Kolkata Knight Riders	"PA Patel,LMP Simmons,RG Sharma,AT Rayudu"	"Shakib Al Hasan,M Morkel,UT Yadav"	46
